"id","date","asked_by","context","question","answer_summary","verification_status","resources"
"96","02/06/2026","Yash Kalabalia","User testing","Divergent view of SAT member","Answered correctly (user-verified).","VERIFIED_CORRECT",""
"97","02/06/2026","Yash Kalabalia","User testing","SAT order on independent directors","Answered correctly (user-verified).","VERIFIED_CORRECT",""
"98","02/06/2026","Yash Kalabalia","User testing","Profit is not an essential requirement for fraud allegation - give me a supporting SAT order","Answered correctly (user-verified).","VERIFIED_CORRECT",""
"99","02/06/2026","Yash Kalabalia","User testing","Generate a word summary of an important SAT judgment on PFUTP violations","Generated document produced - correct (user-verified).","VERIFIED_CORRECT",""
"100","02/06/2026","Yash Kalabalia","User testing","Give me orders of SAT re PIT Regulation, 2025 and 2026 / recent SAT orders 2025-26","Answered correctly (user-verified).","VERIFIED_CORRECT",""
"101","02-05/06/2026","Yash Kalabalia","User testing (failed then fixed)","Whether digital certificate is necessary for digital documents to uphold a charge by SEBI","FAILED 3x (agent always read SAT orders, never AO orders - silent folder-filter no-op from non-strict tool schema). After strict-schema fix 04/06: re-test 05/06 'Search answered all questions'.","VERIFIED_FAILURE_THEN_FIXED","Relevant AO order: Hanif Shekh / Premier Synthetics Ltd (Dec 2024, sebi.gov.in id 90449)"
"102","02-05/06/2026","Yash Kalabalia","User testing (failed then fixed)","Contention of Noticee: digital certificate not provided along with evidence so documents cannot be relied upon by SEBI - rebut it","Same silent folder-filter failure; fixed 04/06; worked on re-test.","VERIFIED_FAILURE_THEN_FIXED","Hanif Shekh AO order"
"103","02-05/06/2026","Yash Kalabalia","User testing (failed then fixed)","Check whether Section 65B of Indian Evidence Act is applicable to SEBI proceedings","Same failure mode; fixed 04/06; worked on re-test.","VERIFIED_FAILURE_THEN_FIXED","s.65B Indian Evidence Act"
"104","05/06/2026","EAD officer (via Aayush)","Nuance trail (9-question sequence)","What is the ratio per SAT judgment in small-trades cases? When no connection is established and prices were manipulated through small trades, does violation establish under PFUTP? (+ Adamina case, Dhiren Dharamdas Agrawal HUF SAT order, appeal 50 of 220, 'so connection is mandatory?')","Model conflated trading-pattern 'connection' with legal relational connection (family/friends/colleagues) - kept asserting connection exists when it meant trading pattern. CLAUDE GAVE THE SAME WRONG FRAMING. Clarified only on explicit pushback. Domain-vocabulary gap, model-agnostic.","PARTIAL_NUANCE_FAILURE","Dhiren Dharamdas Agrawal HUF SAT order; Adamina case; PFUTP small-trades jurisprudence"
"105","01/06/2026","Nikunj Gupta (relaying SEBI user)","User test","Go through the SEBI order in the matter of Darshan Orna Limited dated July 30 2025 and draw an updated graphical chart of connections between Noticees + call-details chart during the investigation period","No answer recorded.","UNANSWERED","Darshan Orna order 30/07/2025"
"106","28/05/2026","Aniket","Gold eval question (authored ground truth)","List every DRHP/UDRHP filed with SEBI between 1 Jan 2026 and 31 Mar 2026 (inclusive) whose offer contains an OFS component - pure OFS or Fresh+OFS. Exclude addenda/corrigenda. For each: issuer, type, OFS quantum, selling shareholders with type.","GOLD ANSWER (authored): 8 qualify. Pure OFS: Advanta Enterprises (22/01, 36,105,578 shares - UPL + Melwood + KIA EBT); EAAA India Alternatives (22/01, Rs 15,000M - Edelweiss S&I); PhonePe UDRHP-I (23/01 confidential, 50,660,446 - WM Digital + Tiger Global + Microsoft Global Finance); SBI Funds Mgmt (24/03, 203,709,239 - SBI + Amundi). Fresh+OFS: Marri Retail (04/02); Turtlemint (04/02 confidential); Trenzet Infra (25/03); Bharat Pet (30/03, Gupta family). Distractors: Madhur Iron & SRIT (pure fresh), Armee/Prasol/Sillverton (addenda/corrigenda). Trap: single-shot RAG surfaces famous ones, misses long tail.","VERIFIED_GROUND_TRUTH","14 docs / 12 issuers in window; full funnel in chunk_08 findings"
"107","03-04/06/2026","Milind Sir (SEBI EFD)","Extractor agent task","Structured extraction from 10 enforcement orders (Intraday Jackpot Telegram channels QJA/MN/ERO/ERO-OTHER/32401/2026-27; Arcotech; Mediaone; Setco; KKP Marketing; DU Digital; Seacoast WTM/KV/CFID/CFID-CORD/31688/2025-26; Reliance Home Finance WTM/AN/CFID/CFID_1/30660/2024-25; IEX insider trading; Zee WTM/AN/IVD/ID17/25354/2022-23)","Extractor outputs sent: 'noticees and smaller details everything was coming correctly' - even caught a deceased noticee. Caveats: one noticee duplicated in two instances; Claude-as-verifier also missed details. Milind reported earlier extraction 'not giving whole data' - follow-up needed.","PARTIAL","Order list verbatim in chunk_06/chunk_08 findings; Ritesh Sir JSON schema"
"108","08/06/2026","Aniket","Final 100-question SEBI eval","100 questions across 10 categories: Circular Lookup by Number (9), Master Circular Lookup (10), Orders Against Specific Entities (10), Press Releases by PR Number (14), Recovery Proceedings Facts & Status (22), Settlement Orders Facts (12), Chairperson/WTM Speech Themes (5), Takeover Code & Regulations (12), Unserved Show-Cause Notices (4), Informal Queries (2)","Aggregate scores /10 - Nemotron: 8.8 completeness / 9.2 correctness / 9.0 overall; Claude: 9.7 / 9.2 / 9.5. Nemotron weakest on Recovery Proceedings (8.5); Press Releases 9.9 for both. Individual Q&A in eval artifacts, not channel.","VERIFIED_AGGREGATE","Eval table for chairperson deck; metrics: Recall/Completeness/Correctness/Overall"
